Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_011062_20130322_20200912_02_T1,LC08_L1TP_011062_20130322_20200912_02_T1,LC80110622013081LGN02,2013/03/22,T1,2, 011, 062, 011, 062,NADIR,   0.000,2020/09/12,2020/09/12,2013-03-22 15:31:03.372379,2013-03-22 15:31:33.1684,LGN,DAY,  41.00,  43.55,228,5,    6.841,    4.430,    5.213,LPGS_15.3.1c,60.99212675,82.97896209,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,2°53'34.08"S,79°54'26.71"W,1°54'19.26"S,80°53'57.44"W,1°54'14.72"S,78°55'11.21"W,3°53'21.73"S,80°53'56.83"W,3°53'12.48"S,78°54'58.18"W, -2.89280, -79.90742, -1.90535, -80.89929, -1.90409, -78.91978, -3.88937, -80.89912, -3.88680, -78.91616,LC08_L2SP_011062_20130322_20200912_02_T1,LC80110622013081LGN02
LC08_L2SP_011063_20130322_20200913_02_T1,LC08_L1TP_011063_20130322_20200913_02_T1,LC80110632013081LGN02,2013/03/22,T1,2, 011, 063, 011, 063,NADIR,   0.000,2020/09/13,2020/09/13,2013-03-22 15:31:27.187169,2013-03-22 15:31:56.983189,LGN,DAY,  60.89,  58.83,396,5,    6.719,    4.439,    5.044,LPGS_15.3.1c,60.57768995,80.48589544,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,4°20'20.36"S,80°12'56.09"W,3°20'57.34"S,81°12'25.38"W,3°20'51.58"S,79°13'30.32"W,5°20'09.31"S,81°12'27.32"W,5°20'00.17"S,79°13'13.58"W, -4.33899, -80.21558, -3.34926, -81.20705, -3.34766, -79.22509, -5.33592, -81.20759, -5.33338, -79.22044,LC08_L2SP_011063_20130322_20200913_02_T1,LC80110632013081LGN02
LC08_L2SP_010062_20130327_20200913_02_T1,LC08_L1TP_010062_20130327_20200913_02_T1,LC80100622013086LGN02,2013/03/27,T1,2, 010, 062, 010, 062,NADIR,   0.000,2020/09/13,2020/09/13,2013-03-27 15:26:49.382655,2013-03-27 15:27:19.178676,LGN,DAY,  90.86,  90.86,32,5,    7.853,    4.949,    6.098,LPGS_15.3.1c,61.09911381,78.83293754,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,2°53'33.79"S,78°47'44.48"W,1°54'17.75"S,79°47'16.84"W,1°54'08.57"S,77°48'24.91"W,3°53'28.39"S,79°47'09.24"W,3°53'09.64"S,77°48'04.90"W, -2.89272, -78.79569, -1.90493, -79.78801, -1.90238, -77.80692, -3.89122, -79.78590, -3.88601, -77.80136,LC08_L2SP_010062_20130327_20200913_02_T1,LC80100622013086LGN02
LC08_L2SP_010063_20130327_20200912_02_T1,LC08_L1TP_010063_20130327_20200912_02_T1,LC80100632013086LGN02,2013/03/27,T1,2, 010, 063, 010, 063,NADIR,   0.000,2020/09/12,2020/09/12,2013-03-27 15:27:13.205916,2013-03-27 15:27:43.001937,LGN,DAY,  82.16,  82.16,57,5,    7.872,    4.498,    6.461,LPGS_15.3.1c,60.58498469,76.39325615,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,4°20'21.30"S,79°06'13.97"W,3°21'05.69"S,80°05'59.39"W,3°20'51.79"S,78°06'48.17"W,5°20'16.80"S,80°05'50.89"W,5°19'54.66"S,78°06'20.99"W, -4.33925, -79.10388, -3.35158, -80.09983, -3.34772, -78.11338, -5.33800, -80.09747, -5.33185, -78.10583,LC08_L2SP_010063_20130327_20200912_02_T1,LC80100632013086LGN02
LC08_L2SP_010064_20130327_20200913_02_T1,LC08_L1TP_010064_20130327_20200913_02_T1,LC80100642013086LGN02,2013/03/27,T1,2, 010, 064, 010, 064,NADIR,   0.000,2020/09/13,2020/09/13,2013-03-27 15:27:37.024942,2013-03-27 15:28:06.820962,LGN,DAY,  83.67,  83.67,24,5,    8.142,    4.833,    6.552,LPGS_15.3.1c,60.01405847,74.05322251,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,5°47'07.04"S,79°24'46.01"W,4°47'44.23"S,80°24'43.31"W,4°47'27.60"S,78°25'18.12"W,6°47'05.32"S,80°24'35.89"W,6°46'41.77"S,78°24'45.65"W, -5.78529, -79.41278, -4.79562, -80.41203, -4.79100, -78.42170, -6.78481, -80.40997, -6.77827, -78.41268,LC08_L2SP_010064_20130327_20200913_02_T1,LC80100642013086LGN02
LC08_L2SP_009059_20130401_20200913_02_T1,LC08_L1TP_009059_20130401_20200913_02_T1,LC80090592013091LGN02,2013/04/01,T1,2, 009, 059, 009, 059,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-01 15:21:23.134557,2013-04-01 15:21:52.930578,LGN,DAY,  89.33,  89.33,92,5,    6.883,    4.558,    5.158,LPGS_15.3.1c,62.55644317,82.43372167,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,1°26'47.47"N,76°45'29.66"W,2°26'04.24"N,77°45'01.62"W,2°26'13.60"N,75°46'14.99"W,0°27'00.11"N,77°44'53.05"W,0°27'01.87"N,75°46'12.58"W,  1.44652, -76.75824,  2.43451, -77.75045,  2.43711, -75.77083,  0.45003, -77.74807,  0.45052, -75.77016,LC08_L2SP_009059_20130401_20200913_02_T1,LC80090592013091LGN02
LC08_L2SP_009060_20130401_20200912_02_T2,LC08_L1GT_009060_20130401_20200912_02_T2,LC80090602013091LGN02,2013/04/01,T2,2, 009, 060, 009, 060,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-01 15:21:46.957818,2013-04-01 15:22:16.753839,LGN,DAY,  99.98,  99.98,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,62.12684659,79.76454383,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,0°00'00.79"S,77°03'56.23"W,0°59'21.34"N,78°03'19.40"W,0°59'25.80"N,76°04'39.40"W,0°59'40.85"S,78°03'19.40"W,0°59'45.35"S,76°04'39.40"W, -0.00022, -77.06562,  0.98926, -78.05539,  0.99050, -76.07761, -0.99468, -78.05539, -0.99593, -76.07761,LC08_L2SP_009060_20130401_20200912_02_T2,LC80090602013091LGN02
LC08_L2SP_009061_20130401_20200912_02_T2,LC08_L1GT_009061_20130401_20200912_02_T2,LC80090612013091LGN02,2013/04/01,T2,2, 009, 061, 009, 061,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-01 15:22:10.776844,2013-04-01 15:22:40.572864,LGN,DAY,  99.97,  99.97,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,61.63390920,77.19220952,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,1°26'47.69"S,77°22'22.62"W,0°27'28.44"S,78°21'42.84"W,0°27'30.82"S,76°23'05.17"W,2°26'18.71"S,78°21'53.39"W,2°26'31.34"S,76°23'09.49"W, -1.44658, -77.37295, -0.45790, -78.36190, -0.45856, -76.38477, -2.43853, -78.36483, -2.44204, -76.38597,LC08_L2SP_009061_20130401_20200912_02_T2,LC80090612013091LGN02
LC08_L2SP_009062_20130401_20200912_02_T2,LC08_L1GT_009062_20130401_20200912_02_T2,LC80090622013091LGN02,2013/04/01,T2,2, 009, 062, 009, 062,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-01 15:22:34.600105,2013-04-01 15:23:04.396125,LGN,DAY,  99.96,  99.96,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,61.08077604,74.72278431,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,2°53'34.91"S,77°40'50.02"W,1°54'14.90"S,78°40'04.37"W,1°54'26.06"S,76°41'24.68"W,3°52'52.90"S,78°40'27.30"W,3°53'15.65"S,76°41'35.27"W, -2.89303, -77.68056, -1.90414, -78.66788, -1.90724, -76.69019, -3.88136, -78.67425, -3.88768, -76.69313,LC08_L2SP_009062_20130401_20200912_02_T2,LC80090622013091LGN02
LC08_L2SP_009063_20130401_20200913_02_T2,LC08_L1GT_009063_20130401_20200913_02_T2,LC80090632013091LGN02,2013/04/01,T2,2, 009, 063, 009, 063,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-01 15:22:58.423366,2013-04-01 15:23:28.219387,LGN,DAY,  38.49,  38.49,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,60.47095472,72.36154551,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,4°20'21.48"S,77°59'19.18"W,3°20'57.52"S,78°58'26.04"W,3°21'19.33"S,76°59'49.78"W,5°19'32.70"S,78°59'03.34"W,5°20'07.44"S,77°00'08.57"W, -4.33930, -77.98866, -3.34931, -78.97390, -3.35537, -76.99716, -5.32575, -78.98426, -5.33540, -77.00238,LC08_L2SP_009063_20130401_20200913_02_T2,LC80090632013091LGN02
LC08_L2SP_009064_20130401_20200913_02_T1,LC08_L1TP_009064_20130401_20200913_02_T1,LC80090642013091LGN02,2013/04/01,T1,2, 009, 064, 009, 064,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-01 15:23:22.246627,2013-04-01 15:23:52.042648,LGN,DAY,  90.28,  90.28,34,5,    6.900,    4.591,    5.151,LPGS_15.3.1c,59.80793056,70.11163093,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,5°47'07.04"S,78°17'51.14"W,4°47'47.29"S,79°18'01.19"W,4°47'18.92"S,77°18'21.82"W,6°47'15.32"S,79°17'39.73"W,6°46'35.15"S,77°17'35.23"W, -5.78529, -78.29754, -4.79647, -79.30033, -4.78859, -77.30606, -6.78759, -79.29437, -6.77643, -77.29312,LC08_L2SP_009064_20130401_20200913_02_T1,LC80090642013091LGN02
LC08_L2SP_009063_20130411_20200913_02_T1,LC08_L1TP_009063_20130411_20200913_02_T1,LC80090632013101LGN02,2013/04/11,T1,2, 009, 063, 009, 063,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-11 15:23:51.504366,2013-04-11 15:24:21.300386,LGN,DAY,  72.60,  72.60,70,5,    7.677,    4.962,    5.858,LPGS_15.3.1c,59.86227888,64.72356147,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,4°20'21.05"S,78°07'09.80"W,3°21'05"S,79°07'29.17"W,3°21'28.26"S,77°06'28.15"W,5°19'29.10"S,79°08'07.84"W,5°20'06.11"S,77°06'47.95"W, -4.33918, -78.11939, -3.35139, -79.12477, -3.35785, -77.10782, -5.32475, -79.13551, -5.33503, -77.11332,LC08_L2SP_009063_20130411_20200913_02_T1,LC80090632013101LGN02
LC08_L2SP_009064_20130411_20200913_02_T1,LC08_L1TP_009064_20130411_20200913_02_T1,LC80090642013101LGN02,2013/04/11,T1,2, 009, 064, 009, 064,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-11 15:24:15.433527,2013-04-11 15:24:45.229548,LGN,DAY,  85.94,  85.94,35,5,    8.738,    5.058,    7.126,LPGS_15.3.1c,59.03453321,62.70186689,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,5°47'06.36"S,78°25'43.21"W,4°47'58.34"S,79°27'06.37"W,4°47'30.80"S,77°25'00.26"W,6°47'07.40"S,79°26'46.86"W,6°46'28.38"S,77°24'15.23"W, -5.78510, -78.42867, -4.79954, -79.45177, -4.79189, -77.41674, -6.78539, -79.44635, -6.77455, -77.40423,LC08_L2SP_009064_20130411_20200913_02_T1,LC80090642013101LGN02
LC08_L2SP_010059_20130418_20200912_02_T1,LC08_L1TP_010059_20130418_20200912_02_T1,LC80100592013108LGN02,2013/04/18,T1,2, 010, 059, 010, 059,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-18 15:27:27.71199,2013-04-18 15:27:57.508011,LGN,DAY,  74.92,  76.42,41,5,    7.704,    4.538,    6.226,LPGS_15.3.1c,62.41184143,68.59612185,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,1°26'47.62"N,78°10'19.56"W,2°26'00.17"N,79°10'50.38"W,2°25'44.87"N,77°09'43.60"W,0°27'10.94"N,79°10'56.03"W,0°27'08.10"N,77°09'55.51"W,  1.44656, -78.17210,  2.43338, -79.18066,  2.42913, -77.16211,  0.45304, -79.18223,  0.45225, -77.16542,LC08_L2SP_010059_20130418_20200912_02_T1,LC80100592013108LGN02
LC08_L2SP_010060_20130418_20200912_02_T1,LC08_L1TP_010060_20130418_20200912_02_T1,LC80100602013108LGN02,2013/04/18,T1,2, 010, 060, 010, 060,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-18 15:27:51.632679,2013-04-18 15:28:21.4287,LGN,DAY,  63.43,  63.43,89,5,    8.006,    4.091,    6.882,LPGS_15.3.1c,61.66436568,66.22743412,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,0°00'00.54"N,78°28'45.73"W,0°59'15.43"N,79°29'21.41"W,0°59'09.89"N,77°28'08.54"W,0°59'44.74"S,79°29'21.41"W,0°59'39.12"S,77°28'08.51"W,  0.00015, -78.47937,  0.98762, -79.48928,  0.98608, -77.46904, -0.99576, -79.48928, -0.99420, -77.46903,LC08_L2SP_010060_20130418_20200912_02_T1,LC80100602013108LGN02
LC08_L2SP_010061_20130418_20200913_02_T1,LC08_L1TP_010061_20130418_20200913_02_T1,LC80100612013108LGN02,2013/04/18,T1,2, 010, 061, 010, 061,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-18 15:28:15.557604,2013-04-18 15:28:45.353625,LGN,DAY,  80.68,  80.68,51,5,    8.350,    5.236,    6.504,LPGS_15.3.1c,60.86706835,63.99537786,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,1°26'47.11"S,78°47'11.80"W,0°27'30.96"S,79°47'57.91"W,0°27'28.69"S,77°46'34.57"W,2°26'31.99"S,79°47'54.13"W,2°26'19.93"S,77°46'24.46"W, -1.44642, -78.78661, -0.45860, -79.79942, -0.45797, -77.77627, -2.44222, -79.79837, -2.43887, -77.77346,LC08_L2SP_010061_20130418_20200913_02_T1,LC80100612013108LGN02
LC08_L2SP_010062_20130418_20200912_02_T2,LC08_L1GT_010062_20130418_20200912_02_T2,LC80100622013108LGN02,2013/04/18,T2,2, 010, 062, 010, 062,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-18 15:28:39.48253,2013-04-18 15:29:09.27855,LGN,DAY,  87.98,  86.76,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,60.02398326,61.89751783,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,2°53'34.30"S,79°05'38.90"W,1°54'18.47"S,80°06'32.26"W,1°54'10.37"S,78°05'03.73"W,3°53'20.08"S,80°06'26.68"W,3°53'03.52"S,78°04'45.44"W, -2.89286, -79.09414, -1.90513, -80.10896, -1.90288, -78.08437, -3.88891, -80.10741, -3.88431, -78.07929,LC08_L2SP_010062_20130418_20200912_02_T2,LC80100622013108LGN02
LC08_L2SP_010063_20130418_20200913_02_T1,LC08_L1TP_010063_20130418_20200913_02_T1,LC80100632013108LGN02,2013/04/18,T1,2, 010, 063, 010, 063,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-18 15:29:03.407455,2013-04-18 15:29:33.203475,LGN,DAY,  68.26,  68.26,119,5,    7.752,    5.286,    5.670,LPGS_15.3.1c,59.13898279,59.92970701,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,4°20'20.87"S,79°24'07.81"W,3°21'06.55"S,80°25'06.53"W,3°20'54.60"S,78°23'28.39"W,5°20'08.41"S,80°25'01.06"W,5°19'49.40"S,78°23'03.84"W, -4.33913, -79.40217, -3.35182, -80.41848, -3.34850, -78.39122, -5.33567, -80.41696, -5.33039, -78.38440,LC08_L2SP_010063_20130418_20200913_02_T1,LC80100632013108LGN02
LC08_L2SP_010064_20130418_20200912_02_T1,LC08_L1TP_010064_20130418_20200912_02_T1,LC80100642013108LGN02,2013/04/18,T1,2, 010, 064, 010, 064,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-18 15:29:27.336616,2013-04-18 15:29:57.132636,LGN,DAY,  55.63,  55.36,118,5,    7.553,    5.013,    5.650,LPGS_15.3.1c,58.21550358,58.08665341,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,5°47'07.44"S,79°42'39.49"W,4°47'54.71"S,80°43'52.54"W,4°47'40.92"S,78°41'50.60"W,6°46'56.57"S,80°43'49.15"W,6°46'37.02"S,78°41'21.70"W, -5.78540, -79.71097, -4.79853, -80.73126, -4.79470, -78.69739, -6.78238, -80.73032, -6.77695, -78.68936,LC08_L2SP_010064_20130418_20200912_02_T1,LC80100642013108LGN02
LC08_L2SP_008060_20130420_20200913_02_T2,LC08_L1GT_008060_20130420_20200913_02_T2,LC80080602013110LGN02,2013/04/20,T2,2, 008, 060, 008, 060,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-20 15:15:29.251838,2013-04-20 15:15:59.047859,LGN,DAY,  99.98,  99.98,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,61.50787236,64.80801299,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,0°00'00.32"N,75°23'04.02"W,0°59'15.61"N,76°23'44.56"W,0°59'16.48"N,74°22'24.74"W,0°59'35.16"S,76°23'44.56"W,0°59'35.99"S,74°22'24.74"W,  0.00009, -75.38445,  0.98767, -76.39571,  0.98791, -74.37354, -0.99310, -76.39571, -0.99333, -74.37354,LC08_L2SP_008060_20130420_20200913_02_T2,LC80080602013110LGN02
LC08_L2SP_008061_20130420_20200913_02_T2,LC08_L1GT_008061_20130420_20200913_02_T2,LC80080612013110LGN02,2013/04/20,T2,2, 008, 061, 008, 061,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-20 15:15:53.172527,2013-04-20 15:16:22.968548,LGN,DAY,  99.94,  99.94,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,60.68115866,62.62789315,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,1°26'46.36"S,75°41'29.94"W,0°27'30.56"S,76°42'10.04"W,0°27'31.28"S,74°40'51.46"W,2°26'20.26"S,76°42'15.37"W,2°26'24.04"S,74°40'50.45"W, -1.44621, -75.69165, -0.45849, -76.70279, -0.45869, -74.68096, -2.43896, -76.70427, -2.44001, -74.68068,LC08_L2SP_008061_20130420_20200913_02_T2,LC80080612013110LGN02
LC08_L2SP_008062_20130420_20200912_02_T1,LC08_L1TP_008062_20130420_20200912_02_T1,LC80080622013110LGN02,2013/04/20,T1,2, 008, 062, 008, 062,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-20 15:16:17.101688,2013-04-20 15:16:46.897709,LGN,DAY,  92.99,  92.99,22,5,    9.022,    5.660,    7.025,LPGS_15.3.1c,59.81021726,60.58181133,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,2°53'34.44"S,75°59'57.23"W,1°54'15.05"S,77°00'39.67"W,1°54'19.30"S,74°59'17.92"W,3°53'03.34"S,77°00'52.27"W,3°53'12.01"S,74°59'17.84"W, -2.89290, -75.99923, -1.90418, -77.01102, -1.90536, -74.98831, -3.88426, -77.01452, -3.88667, -74.98829,LC08_L2SP_008062_20130420_20200912_02_T1,LC80080622013110LGN02
LC08_L2SP_011059_20130425_20200913_02_T2,LC08_L1GT_011059_20130425_20200913_02_T2,LC80110592013115LGN02,2013/04/25,T2,2, 011, 059, 011, 059,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-25 15:33:35.529264,2013-04-25 15:34:05.325285,LGN,DAY,  78.65,  80.82,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,61.89669946,63.62901586,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,1°26'47.33"N,79°41'56.62"W,2°26'04.52"N,80°42'37.33"W,2°25'57.43"N,78°41'13.81"W,0°27'11.74"N,80°42'38.23"W,0°27'10.44"N,78°41'21.01"W,  1.44648, -79.69906,  2.43459, -80.71037,  2.43262, -78.68717,  0.45326, -80.71062,  0.45290, -78.68917,LC08_L2SP_011059_20130425_20200913_02_T2,LC80110592013115LGN02
LC08_L2SP_011060_20130425_20200913_02_T2,LC08_L1GT_011060_20130425_20200913_02_T2,LC80110602013115LGN02,2013/04/25,T2,2, 011, 060, 011, 060,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-25 15:33:59.45419,2013-04-25 15:34:29.25021,LGN,DAY,  89.24,  91.14,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,61.04508871,61.44079689,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,0°00'00.47"S,80°00'22.79"W,0°59'16.69"N,81°01'04.73"W,0°59'14.50"N,78°59'45.85"W,0°59'36.20"S,81°01'04.73"W,0°59'34.01"S,78°59'45.85"W, -0.00013, -80.00633,  0.98797, -81.01798,  0.98736, -78.99607, -0.99339, -81.01798, -0.99278, -78.99607,LC08_L2SP_011060_20130425_20200913_02_T2,LC80110602013115LGN02
LC08_L2SP_011061_20130425_20200912_02_T1,LC08_L1TP_011061_20130425_20200912_02_T1,LC80110612013115LGN02,2013/04/25,T1,2, 011, 061, 011, 061,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-25 15:34:23.374879,2013-04-25 15:34:53.170899,LGN,DAY,  87.00,  90.34,18,5,    8.599,    7.984,    3.192,LPGS_15.3.1c,60.15034973,59.39280968,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,1°26'47.11"S,80°18'48.78"W,0°27'31.28"S,81°19'31.19"W,0°27'30.60"S,79°18'12.60"W,2°26'24.04"S,81°19'32.20"W,2°26'20.29"S,79°18'07.27"W, -1.44642, -80.31355, -0.45869, -81.32533, -0.45850, -79.30350, -2.44001, -81.32561, -2.43897, -79.30202,LC08_L2SP_011061_20130425_20200912_02_T1,LC80110612013115LGN02
LC08_L2SP_011062_20130425_20200913_02_T1,LC08_L1TP_011062_20130425_20200913_02_T1,LC80110622013115LGN02,2013/04/25,T1,2, 011, 062, 011, 062,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-25 15:34:47.299804,2013-04-25 15:35:17.095824,LGN,DAY,  82.91,  67.01,27,5,    8.530,    6.948,    4.948,LPGS_15.3.1c,59.21604690,57.47855032,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,2°53'34.12"S,80°37'15.82"W,1°54'18.86"S,81°37'58.80"W,1°54'17.24"S,79°36'36.07"W,3°53'11.15"S,81°38'02.76"W,3°53'07.84"S,79°36'27.40"W, -2.89281, -80.62106, -1.90524, -81.63300, -1.90479, -79.61002, -3.88643, -81.63410, -3.88551, -79.60761,LC08_L2SP_011062_20130425_20200913_02_T1,LC80110622013115LGN02
LC08_L2SP_009061_20130427_20200913_02_T1,LC08_L1TP_009061_20130427_20200913_02_T1,LC80090612013117LGN02,2013/04/27,T1,2, 009, 061, 009, 061,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-27 15:22:01.624902,2013-04-27 15:22:31.420922,LGN,DAY,   3.60,   3.60,423,5,    4.510,    2.812,    3.526,LPGS_15.3.1c,59.91776273,58.19484898,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,1°26'47.29"S,77°13'16.57"W,0°27'28.69"S,78°13'48.04"W,0°27'30.96"S,76°12'34.42"W,2°26'10.10"S,78°13'58.15"W,2°26'22.20"S,76°12'38.23"W, -1.44647, -77.22127, -0.45797, -78.23001, -0.45860, -76.20956, -2.43614, -78.23282, -2.43950, -76.21062,LC08_L2SP_009061_20130427_20200913_02_T1,LC80090612013117LGN02
LC08_L2SP_009062_20130427_20200912_02_T1,LC08_L1TP_009062_20130427_20200912_02_T1,LC80090622013117LGN02,2013/04/27,T1,2, 009, 062, 009, 062,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-27 15:22:25.545591,2013-04-27 15:22:55.341612,LGN,DAY,   4.75,   4.75,560,5,    2.848,    1.477,    2.435,LPGS_15.3.1c,58.96086639,56.33230025,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,2°53'33.40"S,77°31'43.32"W,1°54'15.88"S,78°32'19.18"W,1°54'26.64"S,76°31'03.43"W,3°52'54.88"S,78°32'41.32"W,3°53'16.84"S,76°31'12.94"W, -2.89261, -77.52870, -1.90441, -78.53866, -1.90740, -76.51762, -3.88191, -78.54481, -3.88801, -76.52026,LC08_L2SP_009062_20130427_20200912_02_T1,LC80090622013117LGN02
LC08_L2SP_009063_20130427_20200913_02_T1,LC08_L1TP_009063_20130427_20200913_02_T1,LC80090632013117LGN02,2013/04/27,T1,2, 009, 063, 009, 063,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-27 15:22:49.474752,2013-04-27 15:23:19.270773,LGN,DAY,  12.92,  12.92,462,5,    5.156,    3.416,    3.861,LPGS_15.3.1c,57.96932527,54.59535001,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,4°20'20.69"S,77°50'12.26"W,3°20'59.39"S,78°50'40.49"W,3°21'20.59"S,76°49'18.16"W,5°19'25.93"S,78°51'16.52"W,5°19'59.66"S,76°49'35.29"W, -4.33908, -77.83674, -3.34983, -78.84458, -3.35572, -76.82171, -5.32387, -78.85459, -5.33324, -76.82647,LC08_L2SP_009063_20130427_20200913_02_T1,LC80090632013117LGN02
